date	quo	min	max	var	pvar	vol
30/12/2015	23.49	23.25	24.09	0.08	0.34	1025400
29/12/2015	23.41	23.41	24.50	-0.71	-2.94	994400
28/12/2015	24.12	24.12	25.16	-0.73	-2.94	734700
23/12/2015	24.85	24.26	24.97	0.49	2.01	864600
22/12/2015	24.36	24.08	25.98	-0.64	-2.56	1211200
21/12/2015	25.00	25.00	27.44	-2.07	-7.65	1818200
18/12/2015	27.07	26.52	28.11	-0.78	-2.80	1803700
17/12/2015	27.85	27.26	28.22	0.35	1.27	2228900
16/12/2015	27.50	26.71	27.85	0.14	0.51	1871700
15/12/2015	27.36	25.87	27.80	1.69	6.58	1582600
14/12/2015	25.67	25.30	26.17	-0.11	-0.43	1111700
11/12/2015	25.78	24.39	25.87	0.80	3.20	1785200
10/12/2015	24.98	24.36	24.99	0.52	2.13	1831700
9/12/2015	24.46	23.41	24.90	1.26	5.43	1565800
8/12/2015	23.20	23.07	24.01	-0.36	-1.53	994500
7/12/2015	23.56	23.39	24.25	0.36	1.55	940700
4/12/2015	23.20	22.73	23.45	0.20	0.87	1435200
3/12/2015	23.00	22.34	23.57	1.13	5.17	1647100
2/12/2015	21.87	21.33	22.41	0.36	1.67	940000
1/12/2015	21.51	21.22	21.79	0.33	1.56	1165700
30/11/2015	21.18	21.18	22.59	-1.28	-5.70	2301800
27/11/2015	22.46	22.46	23.63	-0.87	-3.73	797600
26/11/2015	23.33	23.10	23.70	0.27	1.17	750000
25/11/2015	23.06	23.02	23.99	-0.82	-3.43	1490700
24/11/2015	23.88	23.84	24.62	-0.42	-1.73	1625900
23/11/2015	24.30	23.90	24.89	0.30	1.25	1282300
19/11/2015	24.00	23.78	25.36	-0.65	-2.64	1782800
18/11/2015	24.65	24.30	25.15	0.36	1.48	1814600
17/11/2015	24.29	23.78	24.58	0.69	2.92	1652900
16/11/2015	23.60	23.30	23.69	0.25	1.07	823700
13/11/2015	23.35	23.31	23.84	-0.29	-1.23	868200
12/11/2015	23.64	23.64	24.40	-0.11	-0.46	1510900
11/11/2015	23.75	23.40	24.33	0.36	1.54	1224200
10/11/2015	23.39	23.25	24.21	-0.48	-2.01	727800
9/11/2015	23.87	23.75	24.59	-0.11	-0.46	724300
6/11/2015	23.98	23.93	25.22	-1.00	-4.00	1632000
5/11/2015	24.98	24.75	26.06	-0.69	-2.69	1814200
4/11/2015	25.67	25.10	26.10	0.45	1.78	1826100
3/11/2015	25.22	22.94	25.39	2.32	10.13	2053600
30/10/2015	22.90	22.48	23.09	0.45	2.00	933500
29/10/2015	22.45	22.45	23.73	-0.83	-3.57	790800
28/10/2015	23.28	22.99	23.43	0.27	1.17	902500
27/10/2015	23.01	22.62	23.25	0.26	1.14	756500
26/10/2015	22.75	22.13	22.90	0.71	3.22	886200
23/10/2015	22.04	22.04	22.88	-0.16	-0.72	829300
22/10/2015	22.20	21.71	22.74	-0.75	-3.27	2339800
21/10/2015	22.95	22.82	23.20	0.15	0.66	624000
20/10/2015	22.80	22.75	23.39	-0.15	-0.65	813900
19/10/2015	22.95	22.40	23.16	0.34	1.50	595300
16/10/2015	22.61	22.22	23.35	-0.37	-1.61	1411700
15/10/2015	22.98	22.79	23.42	0.38	1.68	1273100
14/10/2015	22.60	22.05	23.34	0.39	1.76	2163700
13/10/2015	22.21	22.00	23.87	-1.24	-5.29	1444500
9/10/2015	23.45	22.90	23.71	0.80	3.53	1978200
8/10/2015	22.65	22.23	22.97	0.47	2.12	1107700
7/10/2015	22.18	21.20	23.30	1.13	5.37	2241100
6/10/2015	21.05	20.62	21.29	0.38	1.84	1462400
5/10/2015	20.67	20.38	21.00	0.67	3.35	1089300
2/10/2015	20.00	19.40	20.19	0.45	2.30	1142400
1/10/2015	19.55	19.26	19.97	0.05	0.26	5318200
30/09/2015	19.50	19.14	19.79	0.60	3.17	2354000
29/09/2015	18.90	18.79	19.25	0.11	0.59	840700
28/09/2015	18.79	18.67	19.14	-0.23	-1.21	1327500
25/09/2015	19.02	19.02	19.67	-0.15	-0.78	698500
24/09/2015	19.17	18.76	19.45	-0.32	-1.64	1126400
