date	quo	min	max	var	pvar	vol
30/12/2015	33.99	30.42	33.99	2.84	9.12	87100
29/12/2015	31.15	30.70	31.15	0.35	1.14	10900
28/12/2015	30.80	30.80	31.99	-1.60	-4.94	27300
23/12/2015	32.40	31.05	32.40	1.02	3.25	25800
22/12/2015	31.38	30.55	31.38	0.18	0.58	19400
21/12/2015	31.20	30.51	32.00	-0.05	-0.16	16500
18/12/2015	31.25	31.25	33.48	-1.64	-4.99	25100
17/12/2015	32.89	32.73	34.00	-0.71	-2.11	23100
16/12/2015	33.60	31.52	33.60	1.03	3.16	26800
15/12/2015	32.57	31.87	32.57	0.32	0.99	12200
14/12/2015	32.25	31.00	32.25	0.01	0.03	12400
11/12/2015	32.24	31.31	32.24	-0.25	-0.77	3300
10/12/2015	32.49	31.50	32.49	0.99	3.14	4700
9/12/2015	31.50	31.22	31.62	0.25	0.80	4000
8/12/2015	31.25	30.56	31.39	-0.15	-0.48	4700
7/12/2015	31.40	31.07	32.00	-0.10	-0.32	3700
4/12/2015	31.50	31.05	31.50	-0.50	-1.56	2000
3/12/2015	32.00	32.00	32.75	0.00	0.00	6900
2/12/2015	32.00	31.29	32.00	0.10	0.31	2300
1/12/2015	31.90	31.45	32.26	-0.24	-0.75	4500
30/11/2015	32.26	31.11	32.60	0.02	0.06	7900
27/11/2015	32.24	31.83	32.76	-0.16	-0.49	3000
26/11/2015	32.40	32.00	32.49	-0.55	-1.67	2300
25/11/2015	32.95	32.02	33.39	-0.45	-1.35	2000
24/11/2015	33.40	33.08	33.46	-0.01	-0.03	1600
23/11/2015	33.41	33.26	34.07	-0.43	-1.27	6800
19/11/2015	33.84	33.31	34.00	0.32	0.95	32700
18/11/2015	33.52	33.33	33.87	0.00	0.00	19300
17/11/2015	33.52	33.40	34.49	-0.15	-0.45	48700
16/11/2015	33.67	32.90	33.69	-0.74	-2.15	3600
12/11/2015	34.41	33.72	34.89	0.00	0.00	6000
11/11/2015	34.41	33.85	34.41	1.51	4.59	1700
10/11/2015	32.90	32.77	33.30	-0.31	-0.93	20700
9/11/2015	33.21	33.16	33.86	-0.56	-1.66	11100
6/11/2015	33.77	33.30	33.80	0.27	0.81	1900
5/11/2015	33.50	33.30	34.23	-1.35	-3.87	11400
4/11/2015	34.85	34.55	35.00	-0.15	-0.43	9200
3/11/2015	35.00	33.68	35.00	1.30	3.86	12200
30/10/2015	33.75	32.60	33.75	1.15	3.53	7300
29/10/2015	32.60	32.19	32.92	0.45	1.40	59700
28/10/2015	32.15	32.15	32.38	-0.75	-2.28	3400
27/10/2015	32.90	32.36	32.92	-0.20	-0.60	7600
26/10/2015	33.10	32.35	33.61	1.50	4.75	44500
23/10/2015	31.60	31.50	32.20	-0.40	-1.25	8000
22/10/2015	32.00	31.04	32.00	1.00	3.23	1800
21/10/2015	31.00	30.90	31.29	-0.05	-0.16	15800
