date	quo	min	max	var	pvar	vol
29/12/2016	17.58	17.51	17.75	0.01	0.06	371000
28/12/2016	17.57	17.40	17.69	0.13	0.75	130800
27/12/2016	17.44	17.03	17.51	0.39	2.29	531700
26/12/2016	17.05	16.80	17.05	0.25	1.49	61200
23/12/2016	16.80	16.75	17.00	0.03	0.18	139100
22/12/2016	16.77	16.56	17.06	0.28	1.70	132600
21/12/2016	16.49	16.42	16.78	0.07	0.43	233000
20/12/2016	16.42	16.34	16.59	-0.03	-0.18	193200
19/12/2016	16.45	16.15	16.60	0.26	1.61	231700
16/12/2016	16.19	16.12	16.73	-0.21	-1.28	270900
15/12/2016	16.40	16.01	16.47	0.19	1.17	437900
14/12/2016	16.21	16.05	16.46	-0.05	-0.31	246400
13/12/2016	16.26	16.21	16.57	-0.19	-1.16	397600
9/12/2016	16.69	16.40	16.72	0.05	0.30	169100
8/12/2016	16.64	16.37	16.82	-0.11	-0.66	313900
7/12/2016	16.75	16.57	17.09	-0.15	-0.89	382700
6/12/2016	16.90	16.32	17.16	0.39	2.36	382700
5/12/2016	16.51	16.29	16.80	-0.14	-0.84	245100
2/12/2016	16.65	16.47	16.99	-0.21	-1.25	293600
1/12/2016	16.86	16.70	17.45	-0.59	-3.38	271200
30/11/2016	17.45	17.15	17.51	0.16	0.93	530000
29/11/2016	17.29	17.10	17.53	0.11	0.64	224600
28/11/2016	17.18	16.89	17.34	-0.12	-0.69	223400
25/11/2016	17.30	17.10	17.33	0.10	0.58	106200
24/11/2016	17.20	17.20	17.56	-0.10	-0.58	95700
23/11/2016	17.30	17.18	17.64	-0.24	-1.37	399100
22/11/2016	17.54	17.50	17.85	-0.04	-0.23	399300
21/11/2016	17.58	17.30	17.75	0.08	0.46	298200
18/11/2016	17.50	17.25	17.77	0.00	0.00	405000
17/11/2016	17.50	17.20	17.94	-0.15	-0.85	389700
16/11/2016	17.65	17.47	17.85	0.05	0.28	390700
14/11/2016	17.60	17.26	18.05	-0.52	-2.87	433500
11/11/2016	18.12	17.66	18.81	-0.59	-3.15	558600
10/11/2016	18.71	18.65	19.29	-0.42	-2.20	404500
9/11/2016	19.13	18.64	19.24	-0.31	-1.59	368700
8/11/2016	19.44	19.36	19.75	-0.26	-1.32	251100
7/11/2016	19.70	19.11	19.82	0.23	1.18	288400
4/11/2016	19.47	18.88	19.77	0.54	2.85	274800
3/11/2016	18.93	18.90	19.39	-0.46	-2.37	415700
