date	quo	min	max	var	pvar	vol
29/12/2016	8.98	8.98	9.17	-0.12	-1.32	23900
28/12/2016	9.10	9.07	9.24	0.00	0.00	45000
27/12/2016	9.10	8.91	9.29	0.29	3.29	34300
26/12/2016	8.81	8.81	8.94	0.01	0.11	4400
23/12/2016	8.80	8.80	9.10	0.03	0.34	24600
22/12/2016	8.77	8.77	8.89	0.01	0.11	11800
21/12/2016	8.76	8.76	8.85	-0.06	-0.68	4300
20/12/2016	8.82	8.75	9.06	-0.07	-0.79	44700
19/12/2016	8.89	8.81	8.95	0.13	1.48	3900
16/12/2016	8.76	8.76	8.95	-0.02	-0.23	144900
15/12/2016	8.78	8.75	8.83	-0.02	-0.23	122000
14/12/2016	8.80	8.80	8.97	-0.05	-0.56	293300
13/12/2016	8.85	8.81	9.04	-0.24	-2.64	223300
9/12/2016	9.15	8.98	9.27	0.22	2.46	43000
8/12/2016	8.93	8.93	9.09	0.00	0.00	28500
7/12/2016	8.93	8.93	9.15	-0.07	-0.78	70100
6/12/2016	9.00	9.00	9.09	0.00	0.00	42300
5/12/2016	9.00	9.00	9.20	-0.01	-0.11	60300
2/12/2016	9.01	9.00	9.46	0.01	0.11	76200
1/12/2016	9.00	9.00	9.96	-0.70	-7.22	76500
30/11/2016	9.70	9.51	10.09	0.17	1.78	74500
29/11/2016	9.53	9.50	9.74	0.03	0.32	20100
28/11/2016	9.50	9.30	9.60	-0.05	-0.52	23600
25/11/2016	9.55	9.30	9.63	0.04	0.42	8700
24/11/2016	9.51	9.30	9.80	-0.12	-1.25	63600
23/11/2016	9.63	9.50	9.65	-0.06	-0.62	34100
22/11/2016	9.69	9.27	9.69	-0.11	-1.12	52900
21/11/2016	9.80	9.43	9.80	0.29	3.05	6500
18/11/2016	9.51	9.27	9.84	-0.19	-1.96	30600
17/11/2016	9.70	9.10	9.73	0.32	3.41	64800
16/11/2016	9.38	8.56	9.38	0.63	7.20	182100
14/11/2016	8.75	8.75	9.58	-0.55	-5.91	176200
11/11/2016	9.30	9.30	10.45	-1.20	-11.43	93200
10/11/2016	10.50	10.50	11.03	-0.52	-4.72	33000
9/11/2016	11.02	10.94	11.59	-0.65	-5.57	172200
8/11/2016	11.67	11.50	11.67	0.03	0.26	27500
7/11/2016	11.64	11.13	11.69	0.55	4.96	8500
4/11/2016	11.09	10.80	11.10	-0.01	-0.09	76300
3/11/2016	11.10	11.03	11.34	-0.11	-0.98	38700
1/11/2016	11.21	11.21	11.69	-0.49	-4.19	65900
31/10/2016	11.70	11.52	11.87	0.06	0.52	13800
28/10/2016	11.64	10.92	11.66	0.39	3.47	113100
27/10/2016	11.25	11.21	11.49	-0.05	-0.44	18700
26/10/2016	11.30	11.21	11.50	-0.09	-0.79	19500
25/10/2016	11.39	10.81	11.40	0.45	4.11	62400
24/10/2016	10.94	10.82	11.08	0.02	0.18	24000
21/10/2016	10.92	10.92	11.48	-0.13	-1.18	10800
20/10/2016	11.05	10.72	11.16	-0.07	-0.63	278700
19/10/2016	11.12	10.96	11.31	0.07	0.63	13700
18/10/2016	11.05	11.01	11.25	-0.19	-1.69	25000
17/10/2016	11.24	10.91	11.40	0.29	2.65	17100
14/10/2016	10.95	10.82	11.04	-0.06	-0.54	18400
13/10/2016	11.01	10.98	11.20	-0.19	-1.70	24700
11/10/2016	11.20	10.95	11.21	0.25	2.28	13000
10/10/2016	10.95	10.95	11.08	-0.12	-1.08	16800
7/10/2016	11.07	10.95	11.10	-0.03	-0.27	7200
6/10/2016	11.10	10.84	11.10	0.04	0.36	18900
5/10/2016	11.06	10.96	11.10	-0.04	-0.36	8600
4/10/2016	11.10	10.90	11.25	-0.01	-0.09	25400
3/10/2016	11.11	10.79	11.11	0.39	3.64	82100
30/09/2016	10.72	10.51	10.80	0.10	0.94	40600
29/09/2016	10.62	10.61	10.95	-0.34	-3.10	18400
28/09/2016	10.96	10.49	10.96	0.43	4.08	43700
27/09/2016	10.53	10.50	10.70	0.01	0.10	13200
26/09/2016	10.52	10.41	10.72	0.03	0.29	222100
23/09/2016	10.49	9.88	10.49	0.50	5.01	53800
22/09/2016	9.99	9.81	9.99	0.32	3.31	42400
21/09/2016	9.67	9.38	9.75	0.22	2.33	31300
20/09/2016	9.45	9.31	9.66	0.07	0.75	9900
19/09/2016	9.38	9.27	9.50	0.04	0.43	11100
16/09/2016	9.34	9.00	9.34	-0.03	-0.32	123500
15/09/2016	9.37	9.29	9.38	0.11	1.19	7900
14/09/2016	9.26	9.23	9.40	-0.11	-1.17	19600
13/09/2016	9.37	9.02	9.50	-0.01	-0.11	42200
12/09/2016	9.38	9.23	9.41	0.07	0.75	23300
9/09/2016	9.31	9.23	9.44	-0.02	-0.21	28400
8/09/2016	9.33	9.15	9.42	0.18	1.97	22800
6/09/2016	9.15	8.96	9.34	0.03	0.33	63800
5/09/2016	9.12	9.05	9.20	0.02	0.22	41200
2/09/2016	9.10	9.10	9.47	-0.12	-1.30	16300
1/09/2016	9.22	9.11	9.30	0.06	0.66	15600
31/08/2016	9.16	9.05	9.36	-0.13	-1.40	59000
30/08/2016	9.29	9.20	9.42	0.02	0.22	22300
29/08/2016	9.27	9.03	9.40	0.21	2.32	41000
26/08/2016	9.06	9.02	9.21	-0.05	-0.55	212700
25/08/2016	9.11	9.10	9.16	-0.04	-0.44	128300
24/08/2016	9.15	9.15	9.30	-0.20	-2.14	272600
23/08/2016	9.35	9.21	9.50	0.02	0.21	6500
22/08/2016	9.33	9.32	9.54	-0.12	-1.27	8900
19/08/2016	9.45	9.36	9.74	-0.03	-0.32	58400
18/08/2016	9.48	9.20	9.68	-0.02	-0.21	59600
17/08/2016	9.50	9.40	9.60	-0.10	-1.04	79300
16/08/2016	9.60	9.51	9.72	-0.20	-2.04	22600
15/08/2016	9.80	9.52	9.80	-0.20	-2.00	166100
12/08/2016	10.00	8.90	10.00	0.31	3.20	312700
11/08/2016	9.69	9.59	9.90	-0.11	-1.12	88800
10/08/2016	9.80	9.76	10.00	-0.08	-0.81	13100
9/08/2016	9.88	9.81	10.11	-0.22	-2.18	40400
8/08/2016	10.10	9.95	10.18	0.17	1.71	71300
5/08/2016	9.93	9.83	10.14	0.11	1.12	131000
4/08/2016	9.82	9.82	10.04	-0.18	-1.80	180500
3/08/2016	10.00	9.80	10.00	0.13	1.32	163300
2/08/2016	9.87	9.70	9.96	0.00	0.00	10100
1/08/2016	9.87	9.82	9.93	0.02	0.20	82200
29/07/2016	9.85	9.67	10.05	0.05	0.51	111000
28/07/2016	9.80	9.65	9.85	0.00	0.00	133200
27/07/2016	9.80	9.73	9.80	0.00	0.00	28600
26/07/2016	9.80	9.77	9.80	0.09	0.93	12800
25/07/2016	9.71	9.60	9.85	-0.12	-1.22	253600
22/07/2016	9.83	9.64	9.90	0.03	0.31	51200
21/07/2016	9.80	9.75	9.85	0.00	0.00	11700
20/07/2016	9.80	9.56	9.92	-0.12	-1.21	110300
19/07/2016	9.92	9.88	9.98	-0.02	-0.20	18200
18/07/2016	9.94	9.90	10.27	0.00	0.00	17300
15/07/2016	9.94	9.78	10.06	-0.01	-0.10	117700
14/07/2016	9.95	9.89	9.96	-0.03	-0.30	21500
13/07/2016	9.98	9.96	10.05	0.05	0.50	22000
12/07/2016	9.93	9.85	10.20	-0.05	-0.50	39000
11/07/2016	9.98	9.84	9.98	0.18	1.84	13500
8/07/2016	9.80	9.75	9.99	-0.05	-0.51	132700
7/07/2016	9.85	9.70	9.88	0.05	0.51	41800
6/07/2016	9.80	9.80	9.85	-0.04	-0.41	118500
5/07/2016	9.84	9.75	9.87	0.09	0.92	32200
4/07/2016	9.75	9.75	10.00	-0.25	-2.50	10500
1/07/2016	10.00	9.96	10.09	0.00	0.00	15300
30/06/2016	10.00	9.95	10.21	-0.15	-1.48	259500
29/06/2016	10.15	10.15	10.23	0.00	0.00	18500
28/06/2016	10.15	10.01	10.34	0.14	1.40	50700
27/06/2016	10.01	9.95	10.02	-0.06	-0.60	11400
24/06/2016	10.07	9.72	10.07	-0.01	-0.10	88900
23/06/2016	10.08	10.00	10.14	0.00	0.00	24300
22/06/2016	10.08	10.00	10.15	-0.06	-0.59	13000
21/06/2016	10.14	9.93	10.14	0.20	2.01	6600
20/06/2016	9.94	9.76	10.09	0.11	1.12	32800
17/06/2016	9.83	9.72	10.14	0.05	0.51	39500
16/06/2016	9.78	9.70	9.89	-0.02	-0.20	6800
15/06/2016	9.80	9.68	9.87	0.04	0.41	11900
14/06/2016	9.76	9.66	9.90	-0.12	-1.21	16300
13/06/2016	9.88	9.68	9.96	0.01	0.10	38100
10/06/2016	9.87	9.77	10.09	-0.08	-0.80	49700
9/06/2016	9.95	9.82	10.09	-0.08	-0.80	38200
8/06/2016	10.03	9.70	10.19	-0.07	-0.69	97100
7/06/2016	10.10	9.82	10.15	0.15	1.51	22600
6/06/2016	9.95	9.70	10.06	0.00	0.00	40900
3/06/2016	9.95	9.61	9.95	0.08	0.81	50000
2/06/2016	9.87	9.80	9.95	0.07	0.71	13700
1/06/2016	9.80	9.53	9.80	0.31	3.27	12700
31/05/2016	9.49	9.20	9.65	-0.24	-2.47	41000
30/05/2016	9.73	9.67	9.89	0.04	0.41	49800
27/05/2016	9.69	9.54	9.74	0.29	3.09	43700
25/05/2016	9.40	9.36	9.79	0.24	2.62	77500
24/05/2016	9.16	9.03	9.31	0.16	1.78	137300
23/05/2016	9.00	9.00	9.25	-0.39	-4.15	85100
20/05/2016	9.39	9.24	9.50	0.16	1.73	69300
19/05/2016	9.23	9.10	9.59	-0.22	-2.33	141000
18/05/2016	9.45	9.25	9.50	-0.05	-0.53	166000
17/05/2016	9.50	9.30	9.89	-0.14	-1.45	72000
16/05/2016	9.64	9.60	9.95	-0.33	-3.31	151500
13/05/2016	9.97	9.29	9.97	0.47	4.95	114900
12/05/2016	9.50	9.00	9.50	0.50	5.56	94900
11/05/2016	9.00	8.78	9.08	0.22	2.51	139900
10/05/2016	8.78	8.50	8.86	0.13	1.50	35800
9/05/2016	8.65	8.42	8.90	-0.25	-2.81	12700
6/05/2016	8.90	8.74	9.00	-0.05	-0.56	9400
5/05/2016	8.95	8.81	9.10	0.09	1.02	30900
4/05/2016	8.86	8.86	9.15	-0.05	-0.56	14100
3/05/2016	8.91	8.83	8.91	-0.14	-1.55	3400
2/05/2016	9.05	9.05	9.26	-0.17	-1.84	5100
29/04/2016	9.22	9.22	9.47	-0.28	-2.95	14100
28/04/2016	9.50	9.26	9.50	0.24	2.59	56900
27/04/2016	9.26	9.10	9.26	0.26	2.89	192100
26/04/2016	9.00	8.70	9.60	0.30	3.45	385000
25/04/2016	8.70	8.70	9.27	-0.65	-6.95	163800
22/04/2016	9.35	9.27	9.40	-0.15	-1.58	41900
20/04/2016	9.50	9.18	9.50	0.12	1.28	180700
19/04/2016	9.38	9.18	9.51	0.10	1.08	68800
18/04/2016	9.28	9.15	9.37	0.08	0.87	17200
15/04/2016	9.20	9.05	9.23	0.17	1.88	53200
14/04/2016	9.03	8.62	9.03	0.53	6.24	149200
13/04/2016	8.50	8.46	8.66	0.01	0.12	35900
12/04/2016	8.49	8.41	8.58	0.17	2.04	144200
11/04/2016	8.32	8.32	8.69	-0.33	-3.82	49300
8/04/2016	8.65	8.60	8.85	-0.08	-0.92	115400
7/04/2016	8.73	8.60	9.00	0.08	0.92	171700
6/04/2016	8.65	8.49	8.73	-0.05	-0.57	97800
5/04/2016	8.70	8.30	8.79	0.35	4.19	118400
4/04/2016	8.35	8.10	8.70	-0.37	-4.24	117700
1/04/2016	8.72	8.62	8.87	-0.14	-1.58	76900
31/03/2016	8.86	8.61	9.05	0.01	0.11	2856800
30/03/2016	8.85	8.76	8.91	-0.15	-1.67	27500
29/03/2016	9.00	8.78	9.05	0.30	3.45	63800
28/03/2016	8.70	8.56	8.75	0.20	2.35	489600
24/03/2016	8.50	8.45	8.72	0.00	0.00	68800
23/03/2016	8.50	8.50	8.84	-0.20	-2.30	69500
22/03/2016	8.70	8.58	9.02	0.12	1.40	75700
21/03/2016	8.58	8.40	8.72	0.08	0.94	43300
18/03/2016	8.50	8.16	8.58	0.19	2.29	93900
17/03/2016	8.31	8.02	8.51	0.52	6.68	696400
16/03/2016	7.79	7.74	7.94	-0.11	-1.39	57500
15/03/2016	7.90	7.69	8.14	-0.30	-3.66	128300
14/03/2016	8.20	8.04	8.50	-0.29	-3.42	256200
11/03/2016	8.49	8.00	8.49	0.29	3.54	115600
10/03/2016	8.20	7.94	8.26	0.10	1.23	110800
9/03/2016	8.10	7.79	8.15	0.30	3.85	52100
8/03/2016	7.80	7.33	7.79	0.38	5.12	108200
7/03/2016	7.42	7.00	7.42	0.02	0.27	213300
