date	quo	min	max	var	pvar	vol
29/12/2016	14.87	14.52	14.88	0.09	0.61	18090600
28/12/2016	14.78	14.36	14.81	0.37	2.57	18979900
27/12/2016	14.41	14.26	14.55	-0.01	-0.07	14949200
26/12/2016	14.42	14.27	14.45	0.18	1.26	5734300
23/12/2016	14.24	14.01	14.35	0.23	1.64	21776900
22/12/2016	14.01	14.01	14.46	-0.33	-2.30	42240500
21/12/2016	14.34	14.04	14.48	-0.01	-0.07	32856800
20/12/2016	14.35	14.10	14.59	-0.01	-0.07	31810000
19/12/2016	14.36	14.35	14.89	-0.40	-2.71	39128600
16/12/2016	14.76	14.76	15.14	-0.09	-0.61	37876200
15/12/2016	14.85	14.33	14.91	0.11	0.75	43338800
14/12/2016	14.74	14.74	15.47	-0.71	-4.60	44215700
13/12/2016	15.45	15.38	15.69	-0.15	-0.96	33455000
9/12/2016	15.58	15.52	15.90	-0.12	-0.76	37161200
8/12/2016	15.70	15.52	16.00	-0.16	-1.01	41104800
7/12/2016	15.86	15.77	16.33	-0.29	-1.80	50247400
6/12/2016	16.15	15.74	16.20	0.49	3.13	63916700
5/12/2016	15.66	15.55	16.09	-0.17	-1.07	47586500
2/12/2016	15.83	14.75	15.91	0.39	2.53	58381500
1/12/2016	15.44	15.33	16.35	-0.56	-3.50	66775400
30/11/2016	16.00	15.61	16.19	1.34	9.14	82547300
29/11/2016	14.66	14.59	15.38	-0.80	-5.17	54075900
28/11/2016	15.46	15.20	15.56	0.16	1.05	38747500
25/11/2016	15.30	15.05	15.52	-0.28	-1.80	47630600
24/11/2016	15.58	15.58	15.90	-0.27	-1.70	14725000
23/11/2016	15.85	15.53	15.99	-0.08	-0.50	42490100
22/11/2016	15.93	15.25	16.08	0.35	2.25	58636100
21/11/2016	15.58	14.88	15.58	1.06	7.30	59122000
18/11/2016	14.52	14.21	14.69	0.23	1.61	55041300
17/11/2016	14.29	14.29	15.32	-0.45	-3.05	51535300
16/11/2016	14.74	14.18	14.96	0.74	5.29	77406600
14/11/2016	14.00	13.33	14.18	-0.01	-0.07	86623000
11/11/2016	14.01	13.94	15.46	-1.49	-9.61	129811400
10/11/2016	15.50	15.50	17.18	-1.15	-6.91	94683900
9/11/2016	16.65	15.81	17.10	-0.39	-2.29	111417100
8/11/2016	17.04	16.73	17.48	-0.17	-0.99	56241000
7/11/2016	17.21	16.71	17.21	1.22	7.63	51625300
4/11/2016	15.99	15.91	16.58	-0.14	-0.87	61347700
3/11/2016	16.13	16.13	17.03	-0.73	-4.33	56998700
1/11/2016	16.86	16.56	17.88	-0.83	-4.69	68718800
31/10/2016	17.69	17.61	18.17	-0.40	-2.21	42059100
28/10/2016	18.09	17.95	18.29	0.00	0.00	37689700
27/10/2016	18.09	18.09	18.49	-0.01	-0.06	43645900
26/10/2016	18.10	17.61	18.25	0.10	0.56	51424400
25/10/2016	18.00	17.71	18.29	-0.20	-1.10	57674100
24/10/2016	18.20	18.00	18.43	0.25	1.39	51678900
21/10/2016	17.95	17.48	18.09	0.21	1.18	47961800
20/10/2016	17.74	17.22	17.74	0.12	0.68	62901500
19/10/2016	17.62	17.34	17.79	0.20	1.15	65212400
18/10/2016	17.42	17.18	17.64	0.52	3.08	76994100
17/10/2016	16.90	16.07	16.90	0.64	3.94	75002000
14/10/2016	16.26	15.98	16.29	0.50	3.17	65860200
13/10/2016	15.76	15.03	15.82	0.37	2.40	57948800
11/10/2016	15.39	15.29	15.66	-0.34	-2.16	67922200
10/10/2016	15.73	15.51	15.77	0.47	3.08	38276900
7/10/2016	15.26	14.97	15.38	0.16	1.06	71451100
6/10/2016	15.10	14.62	15.10	0.52	3.57	76742600
5/10/2016	14.58	14.16	14.64	0.56	3.99	64885900
4/10/2016	14.02	13.83	14.12	0.05	0.36	39164500
3/10/2016	13.97	13.62	13.97	0.40	2.95	34213400
30/09/2016	13.57	13.44	13.77	0.14	1.04	38771900
