date	quo	min	max	var	pvar	vol
29/12/2016	28.79	27.73	28.85	0.73	2.60	1106500
28/12/2016	28.06	27.31	28.19	0.50	1.81	539100
27/12/2016	27.56	27.12	28.25	-0.41	-1.47	702700
26/12/2016	27.97	27.12	27.97	0.54	1.97	190200
23/12/2016	27.43	26.86	27.70	0.08	0.29	849600
22/12/2016	27.35	26.26	27.35	0.75	2.82	908900
21/12/2016	26.60	26.40	27.12	0.02	0.08	1268000
20/12/2016	26.58	26.21	27.33	-0.33	-1.23	1039700
19/12/2016	26.91	26.91	27.84	-0.93	-3.34	1541700
16/12/2016	27.84	27.47	28.47	0.18	0.65	2134400
15/12/2016	27.66	27.16	27.76	-0.04	-0.14	1584700
14/12/2016	27.70	27.69	28.43	-0.61	-2.15	1649000
13/12/2016	28.31	27.23	28.31	0.62	2.24	1103500
9/12/2016	27.70	27.25	28.23	0.02	0.07	1490000
8/12/2016	27.68	27.43	28.51	-0.19	-0.68	1585100
7/12/2016	27.87	27.77	28.66	-0.42	-1.48	2623800
6/12/2016	28.29	27.88	28.70	-0.13	-0.46	1234000
5/12/2016	28.42	27.71	28.99	-0.36	-1.25	1307800
2/12/2016	28.78	27.34	29.15	0.58	2.06	2220700
1/12/2016	28.20	28.08	29.29	-1.76	-5.87	2201000
30/11/2016	29.96	29.75	30.61	0.36	1.22	2341300
29/11/2016	29.60	29.60	30.66	-0.90	-2.95	1427900
28/11/2016	30.50	29.38	30.58	0.86	2.90	916800
25/11/2016	29.64	28.61	29.74	-0.07	-0.24	674000
24/11/2016	29.71	29.47	29.86	0.03	0.10	302900
23/11/2016	29.68	29.24	29.99	-0.35	-1.17	782500
22/11/2016	30.03	29.03	30.20	0.50	1.69	4095800
21/11/2016	29.53	28.41	29.74	1.11	3.91	1841900
18/11/2016	28.42	27.76	28.60	-0.03	-0.11	1974500
17/11/2016	28.45	28.33	29.46	-0.79	-2.70	1915600
16/11/2016	29.24	27.46	29.24	1.74	6.33	6142300
14/11/2016	27.50	26.27	28.16	0.39	1.44	3821900
11/11/2016	27.11	26.69	29.79	-3.14	-10.38	7751200
10/11/2016	30.25	29.71	32.82	-2.18	-6.72	3775900
9/11/2016	32.43	31.70	32.68	-0.82	-2.47	1792900
8/11/2016	33.25	32.89	33.50	0.01	0.03	1255500
7/11/2016	33.24	32.39	33.42	0.90	2.78	941600
4/11/2016	32.34	32.10	33.03	0.11	0.34	1198800
3/11/2016	32.23	32.12	33.04	-0.52	-1.59	1918400
1/11/2016	32.75	32.70	34.00	-0.95	-2.82	1414300
31/10/2016	33.70	32.87	33.82	0.83	2.53	1690200
28/10/2016	32.87	32.55	33.20	0.12	0.37	1620600
27/10/2016	32.75	32.58	33.04	0.16	0.49	1690800
26/10/2016	32.59	31.94	33.12	0.30	0.93	2619500
25/10/2016	32.29	31.42	32.38	0.39	1.22	836200
24/10/2016	31.90	31.61	32.30	-0.25	-0.78	918400
21/10/2016	32.15	31.66	32.33	0.04	0.12	703200
20/10/2016	32.11	31.48	32.11	0.12	0.38	1081900
19/10/2016	31.99	31.32	32.06	0.35	1.11	1162200
18/10/2016	31.64	31.10	31.64	0.16	0.51	1306100
17/10/2016	31.48	30.26	31.59	0.98	3.21	1510700
14/10/2016	30.50	30.26	31.49	-0.55	-1.77	1986700
13/10/2016	31.05	30.74	31.45	0.16	0.52	1892800
11/10/2016	30.89	30.48	30.97	-0.09	-0.29	1041900
10/10/2016	30.98	30.72	31.12	0.33	1.08	583200
7/10/2016	30.65	30.24	30.90	-0.10	-0.33	1442600
6/10/2016	30.75	30.08	30.90	-0.15	-0.49	1160000
5/10/2016	30.90	30.45	31.10	0.40	1.31	1046400
4/10/2016	30.50	30.10	30.99	-0.30	-0.97	1078200
3/10/2016	30.80	30.00	30.95	0.61	2.02	1163900
30/09/2016	30.19	30.02	30.75	-0.32	-1.05	1344500
29/09/2016	30.51	30.28	31.04	-0.34	-1.10	1731800
28/09/2016	30.85	29.85	31.06	1.00	3.35	1281500
27/09/2016	29.85	29.63	30.45	-0.19	-0.63	1229000
26/09/2016	30.04	29.86	30.41	-0.60	-1.96	954900
23/09/2016	30.64	30.31	31.15	-0.36	-1.16	1233100
22/09/2016	31.00	30.54	31.09	0.37	1.21	820400
21/09/2016	30.63	29.71	30.66	0.97	3.27	1035400
20/09/2016	29.66	29.41	29.98	0.16	0.54	815700
19/09/2016	29.50	29.23	29.75	0.30	1.03	908400
16/09/2016	29.20	28.86	29.55	-0.45	-1.52	2134400
15/09/2016	29.65	29.10	29.80	0.43	1.47	864500
14/09/2016	29.22	28.29	29.25	0.79	2.78	1375200
13/09/2016	28.43	28.29	29.12	-0.57	-1.97	1364700
12/09/2016	29.00	29.00	29.60	-0.45	-1.53	2228800
9/09/2016	29.45	29.27	30.68	-1.62	-5.21	1056400
8/09/2016	31.07	30.81	31.46	-0.12	-0.38	1181200
6/09/2016	31.19	30.84	31.56	0.04	0.13	703500
5/09/2016	31.15	30.84	32.06	0.03	0.10	854000
2/09/2016	31.12	29.21	31.12	1.95	6.68	2146800
1/09/2016	29.17	28.91	29.66	-0.22	-0.75	1335000
31/08/2016	29.39	29.20	30.11	0.29	1.00	2530300
30/08/2016	29.10	28.81	29.54	-0.40	-1.36	1381300
29/08/2016	29.50	28.64	29.71	0.59	2.04	2137900
26/08/2016	28.91	28.61	29.30	0.01	0.03	2074900
25/08/2016	28.90	28.71	29.21	-0.08	-0.28	2127200
24/08/2016	28.98	28.62	29.21	-0.11	-0.38	2137200
23/08/2016	29.09	29.04	29.58	-0.10	-0.34	1160300
22/08/2016	29.19	29.05	29.61	-0.12	-0.41	1076000
19/08/2016	29.31	29.31	29.94	-0.57	-1.91	1104200
18/08/2016	29.88	29.64	30.32	-0.16	-0.53	1024900
17/08/2016	30.04	29.28	30.13	0.10	0.33	1294300
16/08/2016	29.94	29.81	30.93	-0.42	-1.38	1718600
15/08/2016	30.36	29.09	30.37	0.90	3.05	2371900
12/08/2016	29.46	29.03	30.00	-0.49	-1.64	912000
11/08/2016	29.95	28.85	30.00	0.77	2.64	1307600
10/08/2016	29.18	29.00	29.36	0.13	0.45	1011800
9/08/2016	29.05	28.98	29.41	-0.11	-0.38	630400
8/08/2016	29.16	28.75	29.96	-0.86	-2.86	1083600
5/08/2016	30.02	29.50	30.02	0.51	1.73	1271100
4/08/2016	29.51	28.84	29.62	0.45	1.55	1091800
3/08/2016	29.06	28.17	29.13	0.24	0.83	1036900
2/08/2016	28.82	28.46	29.53	-0.98	-3.29	3047000
1/08/2016	29.80	29.56	30.80	-1.00	-3.25	1370600
29/07/2016	30.80	30.00	30.82	-0.05	-0.16	1538800
28/07/2016	30.85	30.50	30.95	0.10	0.33	1437700
27/07/2016	30.75	30.59	31.07	-0.09	-0.29	1508600
26/07/2016	30.84	30.83	31.52	-0.59	-1.88	2754400
25/07/2016	31.43	31.01	31.49	-0.06	-0.19	2333900
22/07/2016	31.49	30.06	31.49	1.38	4.58	3669500
21/07/2016	30.11	29.75	30.30	0.13	0.43	1217700
20/07/2016	29.98	29.56	30.09	0.14	0.47	820400
19/07/2016	29.84	29.52	29.99	0.25	0.84	2077400
18/07/2016	29.59	29.12	29.65	0.29	0.99	705400
15/07/2016	29.30	29.12	30.28	-0.95	-3.14	1219400
14/07/2016	30.25	29.82	30.58	0.18	0.60	2608900
13/07/2016	30.07	29.60	30.18	0.27	0.91	848000
12/07/2016	29.80	29.80	30.33	-0.29	-0.96	2141100
11/07/2016	30.09	29.44	30.15	0.67	2.28	1204900
8/07/2016	29.42	28.44	29.64	1.03	3.63	1473600
7/07/2016	28.39	28.38	29.28	-0.70	-2.41	1258200
6/07/2016	29.09	28.84	29.23	0.26	0.90	1063000
5/07/2016	28.83	28.63	29.10	-0.23	-0.79	879900
4/07/2016	29.06	28.91	29.38	0.02	0.07	438600
1/07/2016	29.04	28.84	29.35	-0.04	-0.14	1400000
30/06/2016	29.08	28.67	29.26	0.08	0.28	3633200
29/06/2016	29.00	28.69	29.47	0.34	1.19	2863300
28/06/2016	28.66	28.28	28.94	0.64	2.28	1737200
27/06/2016	28.02	27.67	28.15	0.04	0.14	2422900
24/06/2016	27.98	27.50	28.19	-0.57	-2.00	1698900
23/06/2016	28.55	28.17	28.76	0.37	1.31	1680900
22/06/2016	28.18	27.91	28.52	0.04	0.14	3307400
21/06/2016	28.14	27.60	28.18	0.32	1.15	1221100
20/06/2016	27.82	27.71	28.39	-0.02	-0.07	1439700
17/06/2016	27.84	27.82	28.55	-0.56	-1.97	3469900
16/06/2016	28.40	27.44	28.41	0.46	1.65	2020900
15/06/2016	27.94	27.31	28.21	0.28	1.01	1943500
14/06/2016	27.66	27.28	28.87	-1.00	-3.49	1566900
13/06/2016	28.66	27.38	28.77	0.76	2.72	2938000
10/06/2016	27.90	27.71	28.20	-0.35	-1.24	4621100
9/06/2016	28.25	27.82	28.33	0.43	1.55	3230100
8/06/2016	27.82	26.57	28.07	1.14	4.27	3562200
7/06/2016	26.68	26.02	26.86	0.30	1.14	1483000
6/06/2016	26.38	26.24	27.24	-0.43	-1.60	2248000
3/06/2016	26.81	25.89	26.81	0.83	3.19	3639400
2/06/2016	25.98	25.89	26.39	-0.21	-0.80	1995400
1/06/2016	26.19	25.58	26.21	0.60	2.34	2887500
31/05/2016	25.59	25.41	26.35	-0.71	-2.70	2526200
30/05/2016	26.30	26.07	26.61	-0.06	-0.23	454700
27/05/2016	26.36	25.96	26.52	0.31	1.19	2601800
25/05/2016	26.05	25.89	26.40	-0.06	-0.23	1774700
24/05/2016	26.11	25.96	26.62	-0.38	-1.43	2717200
23/05/2016	26.49	25.92	26.55	-0.27	-1.01	1392500
20/05/2016	26.76	26.43	26.94	0.22	0.83	1909000
19/05/2016	26.54	26.06	26.60	-0.03	-0.11	981700
18/05/2016	26.57	26.29	26.83	-0.23	-0.86	2376100
17/05/2016	26.80	26.59	27.12	0.05	0.19	5160000
16/05/2016	26.75	26.28	26.98	-0.14	-0.52	2567300
13/05/2016	26.89	26.43	27.75	-0.84	-3.03	2699500
12/05/2016	27.73	26.77	27.73	0.77	2.86	3970500
11/05/2016	26.96	26.71	27.20	0.12	0.45	3452400
10/05/2016	26.84	26.25	26.84	0.84	3.23	2485300
9/05/2016	26.00	25.90	26.55	-0.50	-1.89	2271500
6/05/2016	26.50	26.18	26.52	0.17	0.65	1326600
5/05/2016	26.33	26.05	26.64	0.01	0.04	1651800
4/05/2016	26.32	25.99	26.42	0.07	0.27	4027200
3/05/2016	26.25	25.53	26.36	0.07	0.27	2205500
2/05/2016	26.18	25.91	26.33	-0.22	-0.83	1923500
29/04/2016	26.40	26.03	26.62	-0.11	-0.41	2395900
28/04/2016	26.51	25.91	26.71	0.16	0.61	2650500
27/04/2016	26.35	25.93	26.40	0.53	2.05	3650300
26/04/2016	25.82	25.50	25.99	0.14	0.55	2993900
25/04/2016	25.68	25.33	25.80	0.18	0.71	2041800
22/04/2016	25.50	25.05	25.60	-0.12	-0.47	1880200
20/04/2016	25.62	25.42	25.89	-0.16	-0.62	3184800
19/04/2016	25.78	25.17	25.98	0.42	1.66	2269400
18/04/2016	25.36	24.79	25.49	0.39	1.56	6769500
15/04/2016	24.97	24.41	25.18	0.50	2.04	3777400
14/04/2016	24.47	24.24	25.13	-0.58	-2.32	2375000
13/04/2016	25.05	24.81	26.10	0.05	0.20	5962000
12/04/2016	25.00	24.20	25.01	1.00	4.17	4528800
