date	quo	min	max	var	pvar	vol
29/12/2016	7.83	7.63	7.86	0.08	1.03	2026500
28/12/2016	7.75	7.62	7.85	0.12	1.57	1590300
27/12/2016	7.63	7.60	7.73	-0.01	-0.13	990800
26/12/2016	7.64	7.60	7.69	0.03	0.39	500800
23/12/2016	7.61	7.56	7.69	-0.01	-0.13	1036700
22/12/2016	7.62	7.55	7.77	-0.14	-1.80	1507100
21/12/2016	7.76	7.63	7.80	0.04	0.52	2259700
20/12/2016	7.72	7.59	7.74	0.16	2.12	2078400
19/12/2016	7.56	7.56	7.74	-0.09	-1.18	1568200
16/12/2016	7.65	7.65	7.88	-0.06	-0.78	3876800
15/12/2016	7.71	7.46	7.74	0.07	0.92	3436400
14/12/2016	7.64	7.64	7.90	-0.25	-3.17	3329500
13/12/2016	7.89	7.79	8.12	-0.08	-1.00	2659700
9/12/2016	8.06	8.00	8.39	-0.24	-2.89	1994200
8/12/2016	8.30	8.10	8.40	0.10	1.22	3174900
7/12/2016	8.20	8.03	8.27	0.03	0.37	2703200
6/12/2016	8.17	7.79	8.17	0.28	3.55	1888500
5/12/2016	7.89	7.77	8.03	-0.09	-1.13	1542700
2/12/2016	7.98	7.59	8.01	0.08	1.01	3039900
1/12/2016	7.90	7.78	8.13	-0.40	-4.82	5404200
30/11/2016	8.30	8.12	8.46	0.16	1.97	4083700
29/11/2016	8.14	8.12	8.29	-0.16	-1.93	1196800
28/11/2016	8.30	8.07	8.31	0.06	0.73	2264900
25/11/2016	8.24	7.95	8.34	0.07	0.86	1561100
24/11/2016	8.17	8.17	8.35	-0.19	-2.27	389300
23/11/2016	8.36	8.19	8.36	0.03	0.36	3123900
22/11/2016	8.33	8.25	8.50	-0.05	-0.60	2703600
21/11/2016	8.38	8.23	8.48	0.10	1.21	2558900
18/11/2016	8.28	8.12	8.43	0.00	0.00	1641000
17/11/2016	8.28	8.27	8.52	-0.17	-2.01	2419000
16/11/2016	8.45	8.07	8.50	0.34	4.19	4368700
14/11/2016	8.11	7.80	8.14	0.19	2.40	3428300
11/11/2016	7.92	7.87	8.32	-0.29	-3.53	4045900
10/11/2016	8.21	8.19	8.72	-0.49	-5.63	4201000
9/11/2016	8.70	8.26	8.84	-0.05	-0.57	3236300
8/11/2016	8.75	8.67	8.91	-0.06	-0.68	2635800
7/11/2016	8.81	8.65	8.87	0.23	2.68	2866900
4/11/2016	8.58	8.52	8.71	-0.05	-0.58	3583500
3/11/2016	8.63	8.63	8.90	-0.08	-0.92	2450800
1/11/2016	8.71	8.70	9.50	-0.15	-1.69	6423100
31/10/2016	8.86	8.70	8.86	0.08	0.91	1850600
28/10/2016	8.78	8.66	8.82	0.06	0.69	3055700
27/10/2016	8.72	8.62	8.89	-0.01	-0.11	3411200
26/10/2016	8.73	8.51	8.73	0.13	1.51	4192900
25/10/2016	8.60	8.53	8.63	-0.01	-0.12	2245000
24/10/2016	8.61	8.56	8.77	-0.16	-1.82	1650200
21/10/2016	8.77	8.51	8.77	0.13	1.50	1695200
20/10/2016	8.64	8.52	8.67	-0.02	-0.23	1810200
19/10/2016	8.66	8.58	8.75	0.00	0.00	2818200
18/10/2016	8.66	8.44	8.69	0.26	3.10	4760000
17/10/2016	8.40	8.39	8.69	0.02	0.24	4433300
14/10/2016	8.38	8.35	8.53	0.03	0.36	5019800
13/10/2016	8.35	8.28	8.50	-0.05	-0.60	7493300
11/10/2016	8.40	8.29	8.43	0.05	0.60	4821800
10/10/2016	8.35	8.19	8.38	0.04	0.48	8383900
7/10/2016	8.31	8.06	8.33	0.20	2.47	1717200
6/10/2016	8.11	7.90	8.20	-0.05	-0.61	3695100
5/10/2016	8.16	8.02	8.21	0.13	1.62	1907000
4/10/2016	8.03	7.89	8.03	0.02	0.25	2415000
3/10/2016	8.01	7.87	8.06	0.11	1.39	1793700
30/09/2016	7.90	7.90	8.09	-0.06	-0.75	1913500
29/09/2016	7.96	7.92	8.13	-0.08	-1.00	3525900
28/09/2016	8.04	7.85	8.04	0.12	1.52	2487600
27/09/2016	7.92	7.79	7.93	0.00	0.00	1427500
26/09/2016	7.92	7.80	7.92	0.01	0.13	1464700
23/09/2016	7.91	7.85	8.03	-0.04	-0.50	2962700
22/09/2016	7.95	7.83	8.03	0.15	1.92	5792900
21/09/2016	7.80	7.65	7.88	0.02	0.26	2612000
20/09/2016	7.78	7.78	7.95	-0.04	-0.51	2574700
19/09/2016	7.82	7.79	8.06	-0.12	-1.51	2108600
16/09/2016	7.94	7.91	8.06	-0.09	-1.12	2799100
15/09/2016	8.03	7.85	8.13	0.17	2.16	1605700
14/09/2016	7.86	7.79	7.97	-0.02	-0.25	3460600
13/09/2016	7.88	7.74	8.03	-0.12	-1.50	4599000
12/09/2016	8.00	7.86	8.06	-0.04	-0.50	3446200
9/09/2016	8.04	8.01	8.31	-0.32	-3.83	5662400
8/09/2016	8.36	8.31	8.79	-0.27	-3.13	4305600
6/09/2016	8.63	8.34	8.68	0.28	3.35	4322100
5/09/2016	8.35	8.35	8.54	-0.07	-0.83	1409400
2/09/2016	8.42	8.34	8.52	-0.01	-0.12	3929200
1/09/2016	8.43	8.27	8.46	0.12	1.44	2527100
31/08/2016	8.31	8.23	8.38	0.11	1.34	3256600
30/08/2016	8.20	8.19	8.35	-0.14	-1.68	2083400
29/08/2016	8.34	8.20	8.39	0.06	0.72	1942600
26/08/2016	8.28	8.18	8.39	0.00	0.00	2579200
25/08/2016	8.28	8.27	8.41	-0.09	-1.08	1544600
24/08/2016	8.37	8.18	8.47	0.08	0.97	1689200
