date	quo	min	max	var	pvar	vol
29/12/2016	36.40	34.85	36.40	0.98	2.77	92600
28/12/2016	35.42	34.94	35.96	-0.13	-0.37	45000
27/12/2016	35.55	34.80	35.94	-0.05	-0.14	68500
26/12/2016	35.60	34.93	35.81	0.28	0.79	22600
23/12/2016	35.32	34.50	35.46	0.43	1.23	33800
22/12/2016	34.89	34.62	35.58	-0.81	-2.27	34900
21/12/2016	35.70	34.16	35.70	0.75	2.15	38500
20/12/2016	34.95	34.07	34.99	0.95	2.79	42200
19/12/2016	34.00	34.00	34.73	-0.89	-2.55	19400
16/12/2016	34.89	34.50	35.29	0.45	1.31	8500
15/12/2016	34.44	33.07	34.68	0.55	1.62	25500
14/12/2016	33.89	33.89	34.68	0.03	0.09	26800
13/12/2016	33.86	33.86	35.11	-1.24	-3.53	34300
9/12/2016	35.10	34.51	35.25	-0.31	-0.88	28900
8/12/2016	35.41	35.02	35.75	-0.08	-0.23	14000
7/12/2016	35.49	34.50	35.50	1.07	3.11	20100
6/12/2016	34.42	33.67	34.91	0.12	0.35	46000
5/12/2016	34.30	33.76	35.00	-0.35	-1.01	17400
2/12/2016	34.65	33.04	34.72	0.38	1.11	18300
1/12/2016	34.27	34.19	36.71	-2.48	-6.75	25300
30/11/2016	36.75	34.41	36.75	1.35	3.81	56500
29/11/2016	35.40	34.90	36.52	-0.40	-1.12	47100
28/11/2016	35.80	35.37	36.37	-0.44	-1.21	29100
25/11/2016	36.24	34.87	36.24	0.36	1.00	34200
24/11/2016	35.88	34.70	35.88	0.33	0.93	17500
23/11/2016	35.55	34.60	36.29	-0.15	-0.42	39900
22/11/2016	35.70	34.50	36.79	-0.05	-0.14	25200
21/11/2016	35.75	34.84	35.98	0.56	1.59	10700
18/11/2016	35.19	34.54	35.80	-0.31	-0.87	30500
17/11/2016	35.50	34.90	36.45	-1.18	-3.22	20200
16/11/2016	36.68	34.36	36.68	1.97	5.68	17900
14/11/2016	34.71	33.75	34.71	0.81	2.39	12600
11/11/2016	33.90	33.90	35.72	-1.81	-5.07	59300
10/11/2016	35.71	35.11	36.99	-1.11	-3.01	20300
9/11/2016	36.82	36.63	37.62	-1.42	-3.71	15100
8/11/2016	38.24	37.43	38.24	-0.01	-0.03	11000
7/11/2016	38.25	36.40	38.25	1.10	2.96	30100
4/11/2016	37.15	36.52	37.15	0.43	1.17	6700
3/11/2016	36.72	36.72	37.70	-0.57	-1.53	4000
1/11/2016	37.29	36.76	37.70	-0.41	-1.09	11100
31/10/2016	37.70	37.04	37.70	0.11	0.29	63500
28/10/2016	37.59	36.81	37.59	0.39	1.05	17600
27/10/2016	37.20	36.85	37.69	-0.45	-1.20	5800
26/10/2016	37.65	37.15	37.89	0.65	1.76	9700
25/10/2016	37.00	36.29	37.00	0.61	1.68	7300
24/10/2016	36.39	36.15	36.40	0.09	0.25	10100
21/10/2016	36.30	35.78	36.32	0.30	0.83	8100
20/10/2016	36.00	35.77	36.85	-0.52	-1.42	13200
19/10/2016	36.52	36.52	37.08	-0.33	-0.90	2100
18/10/2016	36.85	36.28	36.98	-0.05	-0.14	6000
17/10/2016	36.90	35.57	37.02	0.31	0.85	33100
14/10/2016	36.59	36.59	37.04	-0.47	-1.27	7100
13/10/2016	37.06	36.86	37.19	0.27	0.73	2900
11/10/2016	36.79	36.50	37.25	0.43	1.18	19100
10/10/2016	36.36	36.09	37.78	-2.19	-5.68	24300
7/10/2016	38.55	38.50	38.60	0.33	0.86	900
6/10/2016	38.22	38.20	38.55	-0.59	-1.52	2300
5/10/2016	38.81	38.34	38.82	0.20	0.52	16200
4/10/2016	38.61	38.00	39.12	-0.11	-0.28	7800
3/10/2016	38.72	38.23	38.72	0.10	0.26	3700
30/09/2016	38.93	38.50	39.25	0.14	0.36	10700
29/09/2016	38.79	38.79	39.22	-0.43	-1.10	2100
28/09/2016	39.22	39.20	39.72	-0.26	-0.66	8100
27/09/2016	39.48	38.31	39.48	0.53	1.36	7900
26/09/2016	38.95	38.47	38.95	-0.01	-0.03	2700
23/09/2016	38.96	38.67	38.96	-0.04	-0.10	1500
22/09/2016	39.00	38.74	39.00	0.69	1.80	2100
21/09/2016	38.31	38.13	38.75	-0.22	-0.57	94800
20/09/2016	38.53	37.64	38.53	-0.07	-0.18	2600
19/09/2016	38.60	37.45	38.60	1.59	4.30	14000
16/09/2016	37.01	37.01	38.53	-1.87	-4.81	15000
15/09/2016	38.88	37.87	38.88	1.48	3.96	4000
14/09/2016	37.40	37.00	37.51	0.35	0.94	3600
13/09/2016	37.05	37.05	38.00	-1.17	-3.06	17000
12/09/2016	38.22	38.11	38.58	-0.18	-0.47	9100
9/09/2016	38.40	38.40	40.59	-1.99	-4.93	4800
8/09/2016	40.39	40.33	40.76	-0.27	-0.66	4400
6/09/2016	40.66	40.66	41.00	-0.02	-0.05	1400
5/09/2016	40.68	40.50	40.69	-0.01	-0.02	2400
2/09/2016	40.69	40.20	40.69	0.49	1.22	14400
1/09/2016	40.20	39.18	40.20	0.21	0.53	8400
31/08/2016	39.99	39.50	39.99	0.50	1.27	10700
30/08/2016	39.49	39.25	39.72	-0.07	-0.18	1700
29/08/2016	39.56	39.40	40.00	-0.14	-0.35	5300
26/08/2016	39.70	39.70	40.20	-0.15	-0.38	8800
25/08/2016	39.85	39.00	39.85	0.66	1.68	6800
24/08/2016	39.19	39.19	39.30	-0.04	-0.10	1900
23/08/2016	39.23	39.23	39.83	0.23	0.59	11900
22/08/2016	39.00	38.62	40.01	-0.98	-2.45	9600
19/08/2016	39.98	39.24	39.98	0.01	0.03	3500
18/08/2016	39.97	39.35	39.97	0.91	2.33	8400
17/08/2016	39.06	38.56	39.12	-0.14	-0.36	14400
16/08/2016	39.20	38.55	39.51	-0.20	-0.51	23900
15/08/2016	39.40	37.99	39.98	1.40	3.68	25700
12/08/2016	38.00	37.37	38.21	-0.70	-1.81	8900
11/08/2016	38.70	37.06	38.70	0.55	1.44	17100
10/08/2016	38.15	37.23	38.39	-0.05	-0.13	12200
9/08/2016	38.20	38.00	38.30	-0.35	-0.91	2400
8/08/2016	38.55	37.00	38.76	0.55	1.45	38300
5/08/2016	38.00	36.75	38.60	-0.57	-1.48	41300
4/08/2016	38.57	38.57	39.77	-1.21	-3.04	23700
3/08/2016	39.78	38.65	39.78	0.14	0.35	9900
2/08/2016	39.64	39.25	39.91	-0.75	-1.86	4200
1/08/2016	40.39	39.35	40.39	0.59	1.48	15400
29/07/2016	39.80	39.42	40.36	-0.11	-0.28	16000
28/07/2016	39.91	38.49	39.91	0.62	1.58	13600
27/07/2016	39.29	38.40	39.57	1.37	3.61	18700
26/07/2016	37.92	37.60	38.23	-0.37	-0.97	1700
25/07/2016	38.29	38.09	38.55	-0.10	-0.26	1700
22/07/2016	38.39	37.50	38.40	0.20	0.52	9800
21/07/2016	38.19	37.85	38.67	0.19	0.50	7200
20/07/2016	38.00	37.54	38.47	0.32	0.85	14000
19/07/2016	37.68	37.05	37.73	-0.28	-0.74	16800
18/07/2016	37.96	37.56	38.20	-0.29	-0.76	13000
15/07/2016	38.25	37.50	38.26	-0.14	-0.36	3300
14/07/2016	38.39	37.32	38.39	0.84	2.24	3900
13/07/2016	37.55	37.39	37.85	0.35	0.94	4700
12/07/2016	37.20	37.10	38.10	-0.74	-1.95	15900
11/07/2016	37.94	37.28	37.95	0.80	2.15	25900
8/07/2016	37.14	36.86	37.23	0.56	1.53	14200
7/07/2016	36.58	36.29	37.00	0.56	1.55	13700
6/07/2016	36.02	36.02	36.78	-1.22	-3.28	25900
5/07/2016	37.24	36.58	37.30	0.19	0.51	1800
4/07/2016	37.05	36.82	37.05	-0.14	-0.38	1600
1/07/2016	37.19	36.95	37.79	-0.53	-1.41	6200
30/06/2016	37.80	36.15	37.80	1.10	3.00	26000
29/06/2016	36.70	34.66	36.89	2.19	6.35	31200
28/06/2016	34.51	33.80	34.98	0.16	0.47	19500
27/06/2016	34.35	33.01	34.35	1.20	3.62	15900
24/06/2016	33.15	33.15	34.10	-1.36	-3.94	16200
23/06/2016	34.51	33.82	34.92	1.11	3.32	4100
22/06/2016	33.40	33.16	33.80	0.00	0.00	7200
21/06/2016	33.40	33.00	33.78	-0.07	-0.21	19700
20/06/2016	33.47	33.07	34.02	0.48	1.45	96300
17/06/2016	32.99	32.56	33.21	0.13	0.40	4200
16/06/2016	32.86	32.36	33.29	-0.17	-0.51	6200
15/06/2016	33.03	32.75	33.55	-0.18	-0.54	8300
14/06/2016	33.21	33.06	34.38	-1.00	-2.92	6900
13/06/2016	34.21	34.00	34.27	0.30	0.88	5000
10/06/2016	33.91	33.70	34.20	-0.59	-1.71	15500
9/06/2016	34.50	34.00	34.80	-0.08	-0.23	26400
8/06/2016	34.58	34.58	35.11	0.30	0.88	4200
