date	quo	min	max	var	pvar	vol
29/12/2016	15.50	14.83	15.50	0.50	3.33	2080400
28/12/2016	15.00	14.80	15.28	0.04	0.27	860200
27/12/2016	14.96	14.72	14.99	0.24	1.63	575300
26/12/2016	14.72	14.70	14.99	-0.13	-0.88	403700
23/12/2016	14.85	14.49	15.05	0.39	2.70	1239900
22/12/2016	14.46	14.41	14.70	-0.15	-1.03	1280900
21/12/2016	14.61	14.40	14.75	0.10	0.69	1155800
20/12/2016	14.51	14.45	14.85	-0.16	-1.09	1447300
19/12/2016	14.67	14.58	14.97	0.08	0.55	1545200
16/12/2016	14.66	14.63	15.14	-0.15	-1.01	2016600
15/12/2016	14.81	14.36	14.96	0.26	1.79	1976300
14/12/2016	14.55	14.53	15.04	-0.44	-2.94	2124900
13/12/2016	14.99	14.53	15.07	0.25	1.70	2002300
9/12/2016	15.15	14.90	15.29	0.03	0.20	2578900
8/12/2016	15.12	14.92	15.43	0.01	0.07	2030800
7/12/2016	15.11	14.72	15.26	0.32	2.16	2302300
6/12/2016	14.79	14.20	14.98	0.33	2.28	2738300
5/12/2016	14.46	14.41	14.83	-0.26	-1.77	2596300
2/12/2016	14.72	14.13	14.92	0.13	0.89	3110200
1/12/2016	14.59	14.50	15.51	-0.98	-6.29	6005600
30/11/2016	15.57	15.42	16.06	-0.33	-2.08	1941400
29/11/2016	15.90	15.51	16.09	-0.22	-1.36	1821700
28/11/2016	16.12	15.08	16.15	0.69	4.47	2682100
25/11/2016	15.43	15.30	15.85	-0.27	-1.72	1517200
24/11/2016	15.70	15.57	16.10	-0.34	-2.12	1250700
23/11/2016	16.04	15.56	16.20	0.20	1.26	2374600
22/11/2016	15.84	15.55	16.23	-0.11	-0.69	2083300
21/11/2016	15.95	15.93	16.46	-0.48	-2.92	1800800
18/11/2016	16.43	15.96	16.52	0.21	1.29	1616800
17/11/2016	16.22	16.06	16.72	-0.36	-2.17	1736200
16/11/2016	16.58	16.17	16.75	0.30	1.84	1952300
14/11/2016	16.28	15.95	16.41	0.01	0.06	2008000
11/11/2016	16.27	15.90	16.71	-0.23	-1.39	3336200
10/11/2016	16.50	16.08	16.77	-0.22	-1.32	3369800
9/11/2016	16.72	16.30	16.94	-0.28	-1.65	2557600
8/11/2016	17.00	16.85	17.25	-0.21	-1.22	1657900
7/11/2016	17.21	17.02	17.63	0.23	1.35	2478500
4/11/2016	16.98	16.82	17.18	0.12	0.71	2382200
3/11/2016	16.86	16.80	17.26	-0.19	-1.11	1782300
1/11/2016	17.05	17.00	17.67	-0.55	-3.13	2058800
31/10/2016	17.60	16.91	17.76	0.32	1.85	1935000
28/10/2016	17.28	17.10	17.49	-0.14	-0.80	1609500
27/10/2016	17.42	17.39	17.60	-0.05	-0.29	964500
26/10/2016	17.47	17.32	17.69	-0.11	-0.63	2142200
25/10/2016	17.58	17.45	17.68	-0.04	-0.23	1402000
24/10/2016	17.62	17.51	17.98	-0.29	-1.62	1782700
21/10/2016	17.91	17.71	18.10	-0.03	-0.17	1491600
20/10/2016	17.94	17.50	18.27	0.20	1.13	1528900
19/10/2016	17.74	17.59	17.93	-0.13	-0.73	2444500
18/10/2016	17.87	17.66	17.99	0.13	0.73	2737700
17/10/2016	17.74	17.23	17.90	0.32	1.84	2254400
14/10/2016	17.42	17.23	18.17	-0.42	-2.35	2995100
13/10/2016	17.84	17.69	18.03	0.04	0.22	3410000
11/10/2016	17.80	17.58	18.17	-0.37	-2.04	2078500
10/10/2016	18.17	17.97	18.30	0.19	1.06	1240800
7/10/2016	17.98	17.80	18.11	-0.02	-0.11	1992900
6/10/2016	18.00	17.80	18.12	0.15	0.84	1414300
5/10/2016	17.85	17.69	18.05	0.18	1.02	1586800
4/10/2016	17.67	17.33	17.87	-0.04	-0.23	1898600
3/10/2016	17.71	17.59	17.96	0.05	0.28	2110500
30/09/2016	17.66	17.48	17.83	0.11	0.63	1830200
29/09/2016	17.55	17.26	17.95	-0.10	-0.57	1492000
28/09/2016	17.65	17.12	17.76	0.53	3.10	2373200
27/09/2016	17.12	16.96	17.33	0.08	0.47	1338100
26/09/2016	17.04	16.84	17.33	-0.41	-2.35	1502700
23/09/2016	17.50	17.42	17.82	-0.03	-0.17	1979100
22/09/2016	17.53	17.21	17.61	0.44	2.57	2659600
21/09/2016	17.09	16.84	17.27	-0.08	-0.47	2010500
20/09/2016	17.17	16.88	17.26	0.31	1.84	1956900
19/09/2016	16.86	16.60	17.00	0.23	1.38	1578000
16/09/2016	16.63	16.11	16.86	-0.32	-1.89	2695500
