date	cot	min	max	var	pvar	vol
30/12/2015	33,59	33,25	34,26	-0,51	-1,50	4.884.800
29/12/2015	34,10	33,66	34,44	-0,22	-0,64	3.265.000
28/12/2015	34,32	34,14	34,68	-0,10	-0,29	2.994.400
23/12/2015	34,42	33,51	34,61	0,87	2,59	2.627.600
22/12/2015	33,55	33,38	34,39	-0,45	-1,32	4.697.700
21/12/2015	34,00	33,96	35,21	-0,76	-2,19	3.515.200
18/12/2015	34,76	34,30	35,27	-1,32	-3,66	5.244.700
17/12/2015	36,08	36,02	36,86	0,24	0,67	4.525.300
16/12/2015	35,84	34,78	35,99	0,34	0,96	3.490.900
15/12/2015	35,50	35,40	36,20	-0,40	-1,11	2.572.400
14/12/2015	35,90	35,39	36,23	-0,33	-0,91	4.468.700
11/12/2015	36,23	35,75	36,70	-0,17	-0,47	3.381.600
10/12/2015	36,40	35,87	37,50	-1,10	-2,93	4.429.000
9/12/2015	37,50	36,08	38,00	1,77	4,95	5.339.600
8/12/2015	35,73	34,95	36,15	-0,27	-0,75	3.176.200
7/12/2015	36,00	35,73	37,07	0,10	0,28	4.323.700
4/12/2015	35,90	34,86	36,47	-0,60	-1,64	5.283.400
3/12/2015	36,50	35,60	36,72	1,89	5,46	6.226.500
2/12/2015	34,61	33,45	35,17	-0,14	-0,40	11.695.600
1/12/2015	34,75	34,55	35,48	-0,36	-1,03	7.551.300
30/11/2015	35,11	35,11	36,86	-1,75	-4,75	9.306.400
27/11/2015	36,86	36,46	37,99	-0,87	-2,31	3.384.300
26/11/2015	37,73	36,75	37,90	0,61	1,64	3.418.000
25/11/2015	37,12	36,65	37,88	-0,78	-2,06	4.809.200
24/11/2015	37,90	37,46	38,12	-0,27	-0,71	3.415.200
23/11/2015	38,17	37,74	38,65	0,48	1,27	3.873.200
19/11/2015	37,69	36,90	37,82	0,89	2,42	6.845.000
18/11/2015	36,80	36,52	37,44	-0,64	-1,71	3.795.500
17/11/2015	37,44	37,00	37,87	0,50	1,35	3.777.900
16/11/2015	36,94	36,43	37,08	0,00	0,00	2.857.700
13/11/2015	36,94	36,59	37,44	-0,02	-0,05	3.485.000
12/11/2015	36,96	36,11	37,22	0,31	0,85	5.677.700
11/11/2015	36,65	36,20	37,24	-0,36	-0,97	6.288.200
10/11/2015	37,01	35,98	37,01	0,39	1,06	4.004.200
9/11/2015	36,62	36,32	37,65	-0,84	-2,24	2.976.800
6/11/2015	37,46	36,67	37,61	-0,49	-1,29	5.216.200
5/11/2015	37,95	36,82	37,95	0,75	2,02	6.222.800
4/11/2015	37,20	36,92	38,99	-0,58	-1,54	4.833.300
3/11/2015	37,78	36,44	37,90	1,17	3,20	6.387.400
30/10/2015	36,61	36,40	37,62	-0,69	-1,85	7.840.800
29/10/2015	37,30	37,14	38,06	-0,85	-2,23	2.765.300
28/10/2015	38,15	38,15	39,58	-1,41	-3,56	5.463.300
27/10/2015	39,56	38,91	39,57	0,36	0,92	2.580.900
26/10/2015	39,20	38,69	39,59	0,48	1,24	3.390.500
23/10/2015	38,72	38,35	39,90	-0,58	-1,48	4.412.700
22/10/2015	39,30	38,32	39,59	0,96	2,50	5.364.300
21/10/2015	38,34	37,71	38,66	0,07	0,18	2.830.200
20/10/2015	38,27	37,62	39,35	-0,95	-2,42	3.762.300
19/10/2015	39,22	37,89	39,22	0,37	0,95	3.331.900
16/10/2015	38,85	37,08	39,15	0,93	2,45	4.867.800
15/10/2015	37,92	36,90	37,94	0,92	2,49	4.131.500
14/10/2015	37,00	37,00	38,23	-0,95	-2,50	7.851.600
13/10/2015	37,95	37,74	39,30	-1,51	-3,83	5.625.000
9/10/2015	39,46	38,55	39,68	0,42	1,08	2.122.300
8/10/2015	39,04	38,43	39,68	0,22	0,57	4.638.600
7/10/2015	38,82	38,44	39,69	0,03	0,08	4.432.800
6/10/2015	38,79	38,02	39,04	0,39	1,02	2.964.300
5/10/2015	38,40	38,00	39,17	-0,35	-0,90	4.203.100
2/10/2015	38,75	36,45	38,97	2,05	5,59	3.714.600
1/10/2015	36,70	36,07	37,02	0,04	0,11	2.674.100
30/09/2015	36,66	36,61	37,80	0,28	0,77	6.540.600
29/09/2015	36,38	34,60	36,46	1,69	4,87	4.892.000
28/09/2015	34,69	34,53	35,26	-1,25	-3,48	10.339.100
25/09/2015	35,94	35,51	36,60	-0,16	-0,44	3.269.700
24/09/2015	36,10	35,82	36,80	-0,79	-2,14	4.688.500
23/09/2015	36,89	36,48	37,45	-0,15	-0,40	5.494.000
22/09/2015	37,04	36,60	37,47	-0,49	-1,31	3.565.400
21/09/2015	37,53	37,02	37,91	0,09	0,24	2.845.800
18/09/2015	37,44	37,20	38,01	-0,64	-1,68	6.909.700
17/09/2015	38,08	37,73	38,48	-0,27	-0,70	4.479.600
16/09/2015	38,35	37,45	38,35	0,83	2,21	4.664.700
15/09/2015	37,52	36,80	37,87	-0,02	-0,05	4.509.500
14/09/2015	37,54	36,55	37,58	0,81	2,21	4.296.400
11/09/2015	37,00	36,20	37,31	0,57	1,56	4.055.000
10/09/2015	36,43	36,05	37,14	-0,67	-1,81	4.860.300
9/09/2015	37,10	36,73	37,89	0,53	1,45	4.116.300
8/09/2015	36,57	36,36	37,50	-0,46	-1,24	4.870.800
4/09/2015	37,03	36,90	37,89	-0,77	-2,04	5.026.200
3/09/2015	37,80	37,10	38,15	0,45	1,20	4.473.500
2/09/2015	37,35	37,19	38,40	-0,25	-0,66	4.879.700
1/09/2015	37,60	37,13	37,95	-0,75	-1,96	5.499.600
31/08/2015	38,35	37,60	38,50	-0,82	-2,09	6.733.100
28/08/2015	39,17	38,85	39,66	-0,78	-1,95	3.334.000
27/08/2015	39,95	39,07	40,35	0,84	2,15	6.195.500
26/08/2015	39,11	38,10	39,29	0,63	1,64	4.294.500
25/08/2015	38,48	37,90	39,84	-0,07	-0,18	4.508.800
24/08/2015	38,55	37,02	38,99	-0,85	-2,16	6.224.900
21/08/2015	39,40	39,16	40,09	-0,63	-1,57	4.615.300
20/08/2015	40,03	39,82	40,26	-0,27	-0,67	2.504.800
19/08/2015	40,30	39,91	40,91	-0,85	-2,07	2.869.200
18/08/2015	41,15	40,58	41,57	0,15	0,37	2.249.900
17/08/2015	41,00	40,26	41,43	0,58	1,43	3.025.200
14/08/2015	40,42	40,42	41,38	-0,91	-2,20	3.120.100
13/08/2015	41,33	39,95	41,75	-0,08	-0,19	5.863.100
12/08/2015	41,41	40,33	41,79	-0,46	-1,10	8.154.700
11/08/2015	41,87	41,30	42,49	-0,69	-1,62	3.364.800
10/08/2015	42,56	41,66	42,75	1,06	2,55	3.830.200
7/08/2015	41,50	41,05	42,36	-0,73	-1,73	3.724.800
6/08/2015	42,23	41,60	43,73	-1,76	-4,00	12.368.800
5/08/2015	43,99	43,65	44,37	0,25	0,57	1.772.500
4/08/2015	43,74	43,35	44,39	-0,18	-0,41	3.397.300
3/08/2015	43,92	43,43	44,46	0,19	0,43	3.759.400
31/07/2015	43,73	43,39	43,91	0,13	0,30	5.680.500
30/07/2015	43,60	42,80	44,62	-1,43	-3,18	6.454.400
29/07/2015	45,03	43,77	45,03	0,78	1,76	3.915.600
28/07/2015	44,25	43,14	44,37	0,76	1,75	3.933.100
27/07/2015	43,49	43,02	44,04	-0,51	-1,16	3.138.100
24/07/2015	44,00	43,39	44,49	-0,42	-0,95	3.761.000
23/07/2015	44,42	43,93	46,00	-1,52	-3,31	5.920.000
22/07/2015	45,94	45,14	45,94	0,16	0,35	2.581.500
21/07/2015	45,78	45,41	46,27	0,35	0,77	5.171.700
20/07/2015	45,43	45,00	45,76	0,04	0,09	5.845.900
17/07/2015	45,39	44,33	45,39	0,42	0,93	3.916.900
