date	cot	min	max	var	pvar	vol
30/12/2015	16,84	16,46	16,89	0,14	0,84	239.900
29/12/2015	16,70	16,51	17,09	0,21	1,27	185.400
28/12/2015	16,49	16,49	17,10	-0,61	-3,57	159.200
23/12/2015	17,10	16,30	17,10	0,80	4,91	249.900
22/12/2015	16,30	16,22	16,50	0,20	1,24	83.400
21/12/2015	16,10	16,10	16,70	-0,34	-2,07	195.900
18/12/2015	16,44	16,38	16,97	-0,71	-4,14	174.700
17/12/2015	17,15	16,63	17,28	0,55	3,31	238.300
16/12/2015	16,60	16,60	17,00	-0,40	-2,35	192.800
15/12/2015	17,00	16,64	17,05	0,32	1,92	271.200
14/12/2015	16,68	16,56	16,98	-0,26	-1,53	155.200
11/12/2015	16,94	16,66	17,00	0,04	0,24	168.700
10/12/2015	16,90	16,65	17,25	-0,25	-1,46	172.600
9/12/2015	17,15	17,02	17,32	-0,05	-0,29	380.300
8/12/2015	17,20	17,08	17,45	-0,21	-1,21	232.700
7/12/2015	17,41	17,10	17,42	0,38	2,23	402.400
4/12/2015	17,03	17,03	17,73	-0,67	-3,79	190.900
3/12/2015	17,70	17,48	17,83	0,30	1,72	313.300
2/12/2015	17,40	17,04	17,55	0,36	2,11	223.300
1/12/2015	17,04	16,91	17,11	-0,01	-0,06	261.300
30/11/2015	17,05	16,84	17,55	0,00	0,00	294.500
27/11/2015	17,05	16,90	17,29	-0,18	-1,04	232.400
26/11/2015	17,23	16,86	17,23	0,40	2,38	84.200
25/11/2015	16,83	16,82	17,55	-0,67	-3,83	223.100
24/11/2015	17,50	17,50	17,85	-0,21	-1,19	354.600
23/11/2015	17,71	17,61	18,00	0,13	0,74	284.800
19/11/2015	17,58	17,44	17,66	0,19	1,09	114.400
18/11/2015	17,39	17,03	17,45	0,04	0,23	102.200
17/11/2015	17,35	17,04	17,35	0,34	2,00	82.700
16/11/2015	17,01	17,01	17,20	-0,12	-0,70	100.800
13/11/2015	17,13	17,13	17,71	-0,48	-2,73	110.800
12/11/2015	17,61	17,52	18,03	-0,19	-1,07	72.700
11/11/2015	17,80	17,62	18,01	0,13	0,74	159.100
10/11/2015	17,67	17,11	17,82	0,37	2,14	150.500
9/11/2015	17,30	17,14	17,72	-0,26	-1,48	133.300
6/11/2015	17,56	17,56	18,14	-0,44	-2,44	286.100
5/11/2015	18,00	17,72	18,13	0,21	1,18	231.100
4/11/2015	17,79	17,46	18,39	-0,21	-1,17	241.900
3/11/2015	18,00	17,87	18,27	-0,05	-0,28	247.000
30/10/2015	18,05	17,56	18,10	0,50	2,85	165.200
29/10/2015	17,55	17,31	17,75	0,04	0,23	127.400
28/10/2015	17,69	17,42	17,74	0,19	1,09	1.511.100
27/10/2015	17,50	17,12	17,53	0,20	1,16	191.800
26/10/2015	17,30	17,07	17,62	-0,20	-1,14	152.300
23/10/2015	17,50	17,38	18,03	-0,15	-0,85	206.300
22/10/2015	17,65	17,27	17,81	0,35	2,02	215.500
21/10/2015	17,30	17,11	17,43	0,05	0,29	547.500
20/10/2015	17,25	17,07	17,47	0,01	0,06	472.800
19/10/2015	17,24	16,82	17,29	0,12	0,70	338.100
16/10/2015	17,12	16,79	17,95	-0,45	-2,56	675.500
15/10/2015	17,57	17,57	18,56	-0,66	-3,62	196.300
14/10/2015	18,23	18,00	18,36	0,13	0,72	553.900
13/10/2015	18,10	17,94	18,70	-0,60	-3,21	234.700
9/10/2015	18,70	18,52	18,78	0,05	0,27	139.200
8/10/2015	18,65	18,53	18,84	0,11	0,59	205.000
7/10/2015	18,54	18,36	18,81	0,19	1,04	219.800
6/10/2015	18,35	18,30	18,65	0,05	0,27	217.200
5/10/2015	18,30	18,10	18,91	-0,03	-0,16	315.300
2/10/2015	18,33	17,94	18,50	0,28	1,55	368.600
1/10/2015	18,05	17,58	18,13	0,42	2,38	82.700
30/09/2015	17,63	17,51	17,95	0,03	0,17	219.700
29/09/2015	17,60	17,46	17,91	-0,09	-0,51	346.700
28/09/2015	17,69	17,49	17,75	0,04	0,23	77.700
25/09/2015	17,65	17,53	17,91	0,00	0,00	300.800
24/09/2015	17,65	17,45	17,84	-0,15	-0,84	904.800
23/09/2015	17,80	17,34	17,80	0,31	1,77	149.500
22/09/2015	17,49	17,42	17,71	-0,11	-0,63	209.000
21/09/2015	17,60	17,47	18,01	-0,32	-1,79	166.800
18/09/2015	17,92	17,31	18,25	-0,27	-1,48	254.500
17/09/2015	18,19	18,03	18,25	0,19	1,06	210.500
16/09/2015	18,00	17,98	18,33	-0,15	-0,83	283.300
15/09/2015	18,15	17,93	18,37	0,07	0,39	471.000
