date	cot	min	max	var	pvar	vol
30/12/2015	6,70	6,52	6,76	0,01	0,15	30.041.600
29/12/2015	6,69	6,68	6,87	-0,01	-0,15	22.441.300
28/12/2015	6,70	6,65	6,90	-0,23	-3,32	28.617.600
23/12/2015	6,93	6,87	7,04	0,14	2,06	38.789.700
22/12/2015	6,79	6,62	6,82	0,15	2,26	40.463.400
21/12/2015	6,64	6,62	7,09	-0,38	-5,41	54.032.100
18/12/2015	7,02	6,92	7,10	-0,18	-2,50	59.442.600
17/12/2015	7,20	7,19	7,52	-0,09	-1,23	43.267.100
16/12/2015	7,29	7,09	7,36	-0,13	-1,75	38.355.200
15/12/2015	7,42	7,30	7,47	0,21	2,91	33.717.000
14/12/2015	7,21	7,07	7,23	-0,04	-0,55	32.669.200
11/12/2015	7,25	7,21	7,53	-0,20	-2,68	50.251.500
10/12/2015	7,45	7,31	7,57	-0,20	-2,61	42.891.500
9/12/2015	7,65	7,27	7,82	0,52	7,29	81.298.100
8/12/2015	7,13	6,95	7,20	-0,06	-0,83	46.274.300
7/12/2015	7,19	7,15	7,61	-0,33	-4,39	46.828.800
4/12/2015	7,52	7,42	7,97	-0,46	-5,76	62.642.300
3/12/2015	7,98	7,79	8,17	0,46	6,12	75.498.900
2/12/2015	7,52	7,35	7,59	0,03	0,40	46.822.900
1/12/2015	7,49	7,45	7,76	-0,18	-2,35	35.075.700
30/11/2015	7,67	7,42	7,84	0,07	0,92	71.762.900
27/11/2015	7,60	7,57	7,86	-0,32	-4,04	37.966.800
26/11/2015	7,92	7,82	8,04	0,02	0,25	21.460.800
25/11/2015	7,90	7,90	8,35	-0,60	-7,06	53.873.300
24/11/2015	8,50	7,95	8,50	0,42	5,20	62.287.000
23/11/2015	8,08	7,85	8,10	0,24	3,06	47.056.700
19/11/2015	7,84	7,62	7,98	0,02	0,26	50.770.100
18/11/2015	7,82	7,79	8,03	0,06	0,77	37.744.400
17/11/2015	7,76	7,64	7,86	0,06	0,78	51.733.800
16/11/2015	7,70	7,31	7,70	0,43	5,91	55.678.600
13/11/2015	7,27	7,23	7,56	-0,31	-4,09	66.113.500
12/11/2015	7,58	7,53	7,74	-0,14	-1,81	40.685.700
11/11/2015	7,72	7,64	7,83	0,11	1,45	43.588.900
10/11/2015	7,61	7,51	7,69	-0,03	-0,39	32.833.500
9/11/2015	7,64	7,59	7,93	-0,18	-2,30	35.514.500
6/11/2015	7,82	7,73	8,08	-0,29	-3,58	39.004.100
5/11/2015	8,11	7,87	8,17	0,03	0,37	92.166.100
4/11/2015	8,08	8,02	8,65	-0,40	-4,72	55.190.900
3/11/2015	8,48	7,77	8,48	0,77	9,99	58.800.500
30/10/2015	7,71	7,54	7,78	0,10	1,31	36.512.700
29/10/2015	7,61	7,57	7,93	-0,09	-1,17	40.518.600
28/10/2015	7,70	7,52	7,95	0,10	1,32	56.071.800
27/10/2015	7,60	7,55	7,86	-0,25	-3,18	42.911.900
26/10/2015	7,85	7,80	8,13	-0,14	-1,75	34.497.300
23/10/2015	7,99	7,94	8,28	-0,03	-0,37	45.304.300
22/10/2015	8,02	7,81	8,11	0,27	3,48	45.820.100
21/10/2015	7,75	7,71	8,06	-0,30	-3,73	44.678.300
20/10/2015	8,05	7,97	8,19	0,10	1,26	47.475.400
19/10/2015	7,95	7,76	7,96	0,00	0,00	39.355.800
