date	quo	min	max	var	pvar	vol
30/12/2015	6,86	6,64	6,94	0,07	1,03	3305400
29/12/2015	6,79	6,74	7,03	-0,12	-1,74	2801600
28/12/2015	6,91	6,82	7,15	-0,10	-1,43	1416600
23/12/2015	7,01	6,89	7,16	0,12	1,74	2319700
22/12/2015	6,89	6,72	6,94	0,06	0,88	1627400
21/12/2015	6,83	6,74	6,99	-0,14	-2,01	2508600
18/12/2015	6,97	6,77	7,15	-0,24	-3,33	5083100
17/12/2015	7,21	7,20	7,51	0,15	2,12	4325000
16/12/2015	7,06	6,58	7,35	0,31	4,59	8277000
15/12/2015	6,75	6,59	6,82	0,19	2,90	2657900
14/12/2015	6,56	6,48	6,70	-0,08	-1,20	2695300
11/12/2015	6,64	6,64	7,02	-0,36	-5,14	4245300
10/12/2015	7,00	6,91	7,08	-0,01	-0,14	2710600
9/12/2015	7,01	6,91	7,14	-0,04	-0,57	4372400
8/12/2015	7,05	6,88	7,21	-0,05	-0,70	2120500
7/12/2015	7,10	7,07	7,26	-0,03	-0,42	2298200
4/12/2015	7,13	6,97	7,38	-0,25	-3,39	3936000
3/12/2015	7,38	7,35	7,68	-0,11	-1,47	8639300
2/12/2015	7,49	7,44	7,87	-0,26	-3,35	3200700
1/12/2015	7,75	7,61	7,85	0,10	1,31	1941600
30/11/2015	7,65	7,56	7,85	-0,15	-1,92	5820700
27/11/2015	7,80	7,80	8,25	-0,27	-3,35	2160000
26/11/2015	8,07	8,02	8,15	-0,05	-0,62	1630800
25/11/2015	8,12	7,97	8,34	-0,19	-2,29	2703100
24/11/2015	8,31	8,26	8,51	-0,26	-3,03	1594500
23/11/2015	8,57	8,42	8,87	0,18	2,15	2047900
19/11/2015	8,39	8,13	8,43	0,28	3,45	1821900
18/11/2015	8,11	8,07	8,33	-0,06	-0,73	1977000
17/11/2015	8,17	8,07	8,34	0,16	2,00	2612900
16/11/2015	8,01	7,98	8,29	-0,11	-1,35	2543700
13/11/2015	8,12	8,09	8,26	-0,08	-0,98	4302600
12/11/2015	8,20	8,16	8,44	-0,20	-2,38	2974800
11/11/2015	8,40	8,34	8,72	-0,07	-0,83	5132300
10/11/2015	8,47	8,01	8,47	0,27	3,29	2283400
9/11/2015	8,20	8,16	8,50	-0,20	-2,38	2113700
6/11/2015	8,40	8,29	8,75	-0,22	-2,55	4977900
5/11/2015	8,62	8,39	8,82	-0,08	-0,92	2535700
4/11/2015	8,70	8,50	8,85	0,11	1,28	5683600
3/11/2015	8,59	8,33	8,67	0,14	1,66	6310500
30/10/2015	8,45	7,83	8,51	0,53	6,69	7948700
29/10/2015	7,92	7,60	8,16	0,25	3,26	4354600
28/10/2015	7,67	7,58	7,90	-0,17	-2,17	4834900
27/10/2015	7,84	7,75	8,62	-0,73	-8,52	5922900
26/10/2015	8,57	8,05	8,75	0,48	5,93	7656800
23/10/2015	8,09	7,86	8,11	0,28	3,59	4713400
22/10/2015	7,81	7,67	7,92	0,12	1,56	2116300
21/10/2015	7,69	7,56	7,73	0,02	0,26	1629900
20/10/2015	7,67	7,55	7,77	-0,02	-0,26	2407600
19/10/2015	7,69	7,59	7,82	-0,05	-0,65	1393700
16/10/2015	7,74	7,60	7,85	-0,07	-0,90	2354700
15/10/2015	7,81	7,71	7,98	0,06	0,77	2895100
14/10/2015	7,75	7,71	8,13	0,00	0,00	9562000
13/10/2015	7,75	7,65	7,82	-0,05	-0,64	4275500
9/10/2015	7,80	7,66	7,96	0,00	0,00	4182000
8/10/2015	7,80	7,70	7,93	-0,03	-0,38	4021300
7/10/2015	7,83	7,77	8,01	0,05	0,64	5105200
6/10/2015	7,78	7,62	7,94	-0,02	-0,26	2815300
5/10/2015	7,80	7,75	8,08	0,03	0,39	4605200
2/10/2015	7,77	7,48	7,80	0,22	2,91	6683800
1/10/2015	7,55	7,46	7,65	0,04	0,53	4022800
30/09/2015	7,51	7,40	7,82	-0,10	-1,31	3799700
29/09/2015	7,61	7,58	7,85	-0,14	-1,81	3578800
28/09/2015	7,75	7,61	7,97	-0,22	-2,76	2711000
25/09/2015	7,97	7,90	8,29	-0,18	-2,21	4674200
24/09/2015	8,15	7,92	8,33	-0,16	-1,93	7613200
23/09/2015	8,31	8,12	8,37	0,01	0,12	4681500
22/09/2015	8,30	8,20	8,39	-0,16	-1,89	2136800
21/09/2015	8,46	8,31	8,57	0,05	0,59	2838500
18/09/2015	8,41	8,32	8,65	-0,24	-2,77	3906900
17/09/2015	8,65	8,48	8,72	0,06	0,70	4501100
16/09/2015	8,59	8,52	8,74	-0,01	-0,12	5268800
15/09/2015	8,60	8,50	8,92	-0,25	-2,82	4277600
14/09/2015	8,85	8,51	8,90	0,31	3,63	3147400
